sentimen,Tweet
Neutral,aku nang kampus untuk ngopi ketemu wong2 podo kabeh takok e lapo mengubah sosyeti a 
Negative,gipewei lagi sedih nih aku seokjin rt fllw rep pict seokjin tag klo mau doain aku juga gpp ga juga gpp 
Positive,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb 
Positive,hahaa aku juga ga ngerti tadi tp asal jwb aja
Positive,kelak jika aku menjadi orangtua yang akan kulakukan adalah meyakinkan anakku nak percaya sama ayah tidur siang itu men 
Negative,yang apa kamu mengabulkan doa ku untuk klosdonecepatnya okey kalo itu mau kamu 
Positive,aku terhibur hahahahahahahahahahahaha
Neutral,kamu juga kan 
Neutral,x de adab betul budak ni pinjam buku aku 
Positive,okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah terhibur contohnya burung berek ber 
Negative,makin lama rasa apebende laa aku melalut ni i better stop 
Positive,iya lucu emang dia aku temenan di ig
Negative,dear makhluk hidup disekitarku kalo mau tau tanyain lgsung ke aku aja gausah lewat orang lain lumayan kan gak 
Negative,member aku ade cite kat aku yang dibreak up dgn gf die time dia cerita suddenly dia menangis weyh 5 tahun bersama kot 
Negative,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
Neutral,kenapa popular weh sorry aku blur x paham mksd hg 
Positive,lhaa kaann ancene aku arek e kurang pinter wayah e aku koncoan terus yaa ambk arek e sopo ngerti kecipratan rejeki
Positive,give away time untuk merayakan ulang tahun namjoon dan ulang tahun aku aku adain give away photocard dan juga album lov 
Neutral,broimak video ini ribka tjiptaning penulis buku aku bangga jadi anak pki dia setuju pki harus tetap ada yang pasti d 
Positive,kak mau jugaa
Neutral,mau mandi diceramahin dulu sama nyonya besar intinya sama tobat kamu abis iniiap komandan 
Negative,kepada para suami aku nasihatkan jangan forward gambar ni kepada isteri aku baru forward tadi 
Negative,aku tak faham betul lelaki tak suka perempuan pakai makeup 
Negative,wasyuu 
Positive,kamu adalah yang ia inginkan untuk menjadi tempat persinggahan terakhirebesar itu harapannya kepadamu jangan mengecew 
Positive,aku dulu lahir di jogja jogja dijuluki kota berhati nyaman pantes aja aku langsung pake hati kalo udah nyaman dikit 
Positive,guys aku jumpa ayat yang berguna untuk digunakan time korang tengah putus asa sabar terbahagi kepada dua iaitu sabar 
Neutral,ada penjual suruh tebuk lubang kecik ja tahan lebih 30 hari aku dh nk dekat 3 bulan x hb 
Positive,kepada fresh grad yg tgh cari kerja boleh try amalkan zikir dan semua doa ni alhamdulillah lepas amalkan ni aku pon dpt 
Negative,at least datang balik minta maaf okay lah daripada hilang dari radar tinggal aku tanpa pesan kau ingat senang ke nak stick to 
Negative,macam mana nak tidur kalau still fikirkan orang yang kita sayang okay ke tak tu tidurnya lena ke dia perlukan aku tak ka 
Neutral,kengkawan lama suka cari aku bila nak translate bahasa jawa hahah ingat lagi aku ni anak jawa 
Positive,kalau akhlak mereka lebih baik kenapa engga kalau mereka lebih bisa menghargai melindun 
Neutral,karena aku kepo 11 13 20
Negative,aku betul betul nak mintak bantuan korangemua untuk cari haji loqman bin haji azli ni mugkin korang tak kenal tapi mugkin 
Negative,her miss kan taman safari jauh yo di pasuruan aku males nganterno andrew kesana kalo taman safarinya tak undang ke ru 
Neutral,berarti aku bener dong jawab cowok dapet 2jt nggak nih 
Neutral,tls followan ama aku yukk rep rt kita temenan
Negative,14 modal nomad 15 ribuan dan sekotak popcorn modus mesum dilancarkan pertama tama kamu merasa aneh lama lama kamu izinkan maksiat
Negative,terkadang allah kasih tahu kalau sesuatu itu bukan buat kamu dengan cara yg menyakitkan 
Negative,back then in school cikgu semua macam eh jangan bercinta sekarang nanti kat uni lagi handsome handsome kamu jumpa now i 
Negative,masih ingat lagi tak macam mana mula mula kita kenal dulu awal nya aku tertawa dan akhirnya aku menangis 
Negative,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
Negative,iya hubungin aku aja ya butuh dosa berapa banyak lagi wkwk
Positive,buat dong aku kan juga istrinya daniel 
Negative,kalau mahal service bagus takpe ini streamyx aku kat rumah pun barai 
Positive,hihihihi look at the face lepaskan aku taknak kau bau ikan bagi aku mandikan dulu namau nameow catsoftwit 
Negative,sejauh aku berjalan sampai dahlia baru perasan tertinggal labcoat kat dinamik sobss
Neutral,antra bebanyak pondan kt malaysia ni aku rasa viviana ni y bila bercakap ada content ive never thought y komuniti ki 
Neutral,lepas tengok movie onetwojaga teringat pulak time intern dulu kerja dengan contractor sebagai quantityurvey juruuk 
Neutral,ada yang bertahan karena sayang ada juga karena terpaksa menurut kamu kapel kamu yang mana 
Positive,guys today aku nak rekomen kat korang movie2 yg best some of you maybe blm pernah tengok movie tu lagi aku tak berapa pa 
Negative,sudah waktunya aku mulai menjalani hidupku sendiri mello death note 
Neutral,so aku pergi klinik sebab muntah tengok carta organisasi dia buatkan aku nak tergelak apa ni wei 
Negative,nampak la org lain semua dp gambar kawen dengan husband aku je dp gambar ambik sendiri 
Neutral,ya allah pengen ngakak goler2 aku sama trit iniiii 
Positive,tolong la harini je dah banyak sangat ketawa krem perut aku yall
Negative,i dont know lah nak kata macam mana sekarangebab aku sorang yang rasa sakit so orang lain dont judge me
Negative,mu gemes banget adminnya aku ga jadi marah 
Neutral,pastu kan perangai dia still babi lagi nampak sangat taknak aku kahwin biasa biasa 
Neutral,siang happy friday sholat jum'at nya jangan lupa ya aku habis ada kegiatan terus nanti ada latihan bareng team j s 
Neutral,kawan aku bagi tips dietebab masa cuti dia just makan nie utk diet and bila naik sem hari tu dia dah kurus giler ka 
Positive,gt tuhan yesus berkata 'aku dapat menggantikan rasa frustasi di hatimu dengan damai sejahtera mbml
Positive,aku doakan lelaki yang tengah kerja cari duit untuk pasangan masing masing diberikan kesihatan dan dimurahkan rezekiemo 
Negative,bisaan aja kamu naruto padahal emang pengen nyium tp mukaku yg disalahin gt lt 
Negative,keluar airmata jantan aku baca 
Negative,siapa dapat first impression macam niumpah aku ingat kau dulu sombong gila orang pun cakap kau macam sombong aku p 
Neutral,aku tadi nge rt wah wah wah
Negative,wah pas nonton berita ada yang dilamar pas wisuda jadi ingin aku tuh tapi yang nak melamar pon siape 
Neutral,sebenarnya takde ciri pun bila dah sayang someone tu dia gelap pun kita suka dia putih pun kita suka dia tak hensem pu 
Positive,temen temen yg ada di jatinangor dan sekitarnya bisa tolong dibeli ya jualan bapak ini beliau jual kain lap keset dsb 
Neutral,antara ayat penipuan paling besar 1 jap tengah siap 2 otw 3 tak study pun 4 takda kredit lah 5 pakai duit ka 
Neutral,izinkan aku mengupload ini 
Negative,aku merasa seperti aku tidak bisa melakukan apapun tanpa elfungmin 
Negative,dalam instagram facebok twitter cantik depan depan takde la cantik mana bagitahu akuekarangiapa je yang nak upl 
Positive,bersyukurlah hingga kamu lupa rasanya kekurangan tulisanirin jumatberkah 
Positive,segitu kangennya ya mba sama aku 
Neutral,kamu jangan lupa sholat dzuhurnya
Neutral,life skang aku simplekan je aku tak suka aku tak layan itu je penat nk jaga hati org je pikir diri sendiri dlu 
Negative,bayangkan kalau posisi kamu lg di bwah dan orng lain melihat kita rendah karna materi yang kita punya
Positive,hidup ini adalah pilihan yang harus kamu pilih
Neutral,tiap salam buat suami aku exo di korea paaak 
Negative,laa haha sorry2 akualah paham 
Negative,receeehh ah kamu
Neutral,masalah pinjam lighter bang pinjam lighter jap ok light kena berdiri jap sedup satu pam kene hembus dlu sebab nak ucap 
Negative,sekurang kurang nya rm100 kalau budak yang miskin kau nk suruh mcm mana minta sedekah ke lepastu bila tak cukup kau 
Neutral,tidur tak buka kipas or aircond bcs takut the kitten sejuk nanti bangun approximately every 2 hours just sebab dia nangis l 
Positive,if si keli tu boleh jadi femes apantah lagi aku kan kahkahkah 
Negative,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
Negative,mau beli barang di shupe harganya sepuluh ribu tp ongkirnya 25ribu kesel banget deh wheres the justice tho aku jadi kayak be 
Negative,aku masih butuh selang waktu untuk mengerjakan visualnya biar mampus kalian menunggu sampai 3 kali rasain p
Negative,kok gitu sama aku
Negative,kukira aku introvert ternyata juga pedopil 
Neutral,7 00 p m itu pagi apa malam ya pagiudah pernah coba trik pancing memancing kayak gitu b 
Positive,sayang lagi sakit jadi aku harus sentiasa ada buat sayangku 
Negative,omg kau jgn buat aku g kfc ppagi cmni 
Neutral,mamak ni nak try aku ke apa 
Negative,ada yg mau serius tapi aku nya masih raguuu gmn donggg yaudah jangan dikasih harapan dianya kasiaan 
Neutral,tomorrow i will date with yesterday's you movie aku download sebab katanya sedih k start movie sampai ending duk fikir t 
Positive,i liked a video aku tanya pak jokowi pakai bahasa jawa 
Negative,kalau jadi atasan gausah sombong2 deh menindas karyawan apa kamu langsung jadi milyuner melarang orang ga masuk karena ada 
Neutral,aku ngatau nih bang definisi berhasil apa nga 
Neutral,sama aku kapan 
Neutral,aku main ww deg degan mulu wkwkwk id kamu apaa 
Negative,kayak woojin kesringan barengih dasar anak kembar 
Positive,okaay nggapapaa aku minta doyoung ajaa makasih yaa 
Negative,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
Neutral,aku jual 
Negative,dulu waktu kecil aku bercita cita ingin menjadi seorang pengkhianat 
Neutral,waw beliin buat aku dong
Positive,aku terima nikahnya dengan mas kahwin bacaanurah al fatihah dear future wife nanti kita kahwin saya sedekahkan al fat 
Positive,le makan samyang yuk aku udh lama ga makan samyang udh lama juga ga disayang
Negative,tu lah dulu aku paling malas nk kutip sebab malu kot mintak duit kt orang
Negative,rama gak usah ganggu aku sama karya ya tolong 
Negative,jangan begadang jangan minum2an soda jangan kau pilih dia pilihlah aku yang mampu mencintamu lebih dari dia 
Positive,pegi kedai bawak lah adik aku teman pastu uncle tu tanya ni anak you ke muka sama hahaha muka aku macam orang dah kawin ke doh
Neutral,amin ustazah saya pening kepala me takpelah awak tulis je apa yang awak laratampai masa aku suruh hantar buku tara 
Neutral,aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab 
Negative,td mikirnya gtu pngn ngegas jg tp apalah aku ini hanya orng kecil tidak pnya pengaruh jd ngegasnya sia2 kwkwkwk 
Positive,aku suka mie sedap kalau di tumis ulang pake bawang merah bawang putih telor daun bawang irisan ca 
Neutral,sebenarnya ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah dan sewakan 
Neutral,kamu sudah shalat jum'at belum letsfridaypray
Negative,nak tnggu org reply email mmg lambat ah citenya aku nak settle kan bulan ni jgk 
Negative,rlt mutualan yu yang gamasalah aku suka rt in ga sama twt receh rt ya dn aku ada tapi follback kalo ngga maapin ak 
Neutral,giveaway ina only adakah yg masih nungguin wdtv sampai hampir gila kaya aku help dong 1 1 doa boleh sekalian 
Neutral,semoga kamu jadi salah satu dari 3ahabat yang beruntung dapetin pulsa 50k ya jangan lupa like dan ajak 3 teman kamu unt 
Negative,sedara aku buat hal pergi kenduri kahwin lepas tu ramai sangat orang lepas tu risau tak dapat tempat duduk maka htt 
Positive,jika aku jadi ratumu maka pasti kau rajanya ya kan 
Neutral,aku baru je tukar tayar depan myvi sepasang rm 450 semalam 
Neutral,hallo td aku berselancar di twt ttg belanja di gmarket gitu trs nemu km pernah beli album di gmarket 
Negative,boleh kot kalau nak buat insta story takyah jerit2 bingit sia telinga aku ckp biasa2 pun orang dah dgr 
Negative,orang selalu kata aku penat when dia sebenarnya tengah rasa sedih 
Negative,aku beria sekalipun bukannya kau nak appreciate 
Neutral,aku nak buat nie ti
Neutral,pipi nya cubit pipi kamu emang mau nya di cium dmn 
Negative,aku harap dia tak jual fhone 8 dia semata nak beli xs tu 
Neutral,memang best tengok ikan datang aku pon pernah buat dekat pulau bagi makan roti tapi perbuatan tu salah ikan kene ma 
Neutral,kalo aku bacanya sih emang kamu yang ngetik ga jelas wkwkwk
Positive,aku penggemar mie burung dara enaknya nyambung terus
Negative,assalam macam mana lelaki boleh ingat jalan jauhelekoh belok2 tanpa rujuk maps even pernah pergiekali je kalau aku 
Negative,kalen kalen pada jahad ma aku 
Negative,weyhh tolonglah faham aku sakit kau langsung tak kesah aku baru balik drpd klinik aku gagahkan badan aku untuk 
Negative,lebih baik aku seperti kopi yang dibiarkan membasi daripada kau sapa tapi sekedar basa basi 
Neutral,giveaway pulsa 20k untuk 1 orang pemenang caranya retweet dan follow akun aku aja ya pemenang aku umumin tangga 
Positive,ni kalau suami aku panggil sayang macam ni we're gonna make babies right after 
Neutral,ngapain kamu 
Negative,aku confuse dgn penjual kt malaysia ni macam asik tunjuk kekayaan je nak jual ke nak show off tunjuk kekayaan then 
Positive,be strong bro 
Neutral,pernah pas masih ngajar privat gt adek kakak muridnya adek aku weekend ini mau ke spore miss pernah ke s 
Neutral,aku dok bayang macam alien keluaq dari dada
Positive,di antara buku buku kesukaan yang kaubaca sampai malam kian jauh dan sendiri aku ingin jadi buku yang menelungkup di d 
Neutral,adik aku yang darjah 5 tetiba masuk bilik pastu bagi pantun bread is rotihadow is bayangebelum akak mati better 
Neutral,fastga gifwinner palinguka pake banget yang iniiiii yoon as the cutest and mino pampers him 
Neutral,laki pun ada je ayat ni lahai 
Neutral,diam tak berarti kamu kalah kadang itu hanya berarti kamu tak ingin berdebat dng orang yg bahkan menolak tuk mendengarkan 
Neutral,tengok ni 
Neutral,tls followan ama aku yukk rep rt kita temenan
Neutral,isteri tak sihat sejak smlm mcm biasa aku keluar pagi jam 6 30am dia yg akan hantar anak2 ke tadika taska but to 
Positive,cerita hari ini aku baru beli 2 hamster biar ngga kesepian aja sih di rumah aku pandaaaang terus mereka berdu 
Neutral,aku ngak haha cuma bawa tas selempang kecil aja udah kemana2 
Neutral,biasanya lewat jalur mana ke arah kampung kamu 
Negative,udah gausah baper dia itu ngetik cuma pake jari jadi kamu bacanya pake mata aja gausah pake hati 
Positive,tak perlu takut untuk meninggalkan sesuatu yg tidak menghormatimu masih banyak kesempatan untukmu menjadi lebih terhormat jika kamu berani 
Negative,hati aku kecewa aku sedih aku aku sorang je tahu orang lain tak tahu 
Positive,let me make this clear paan dlm hidup ni kan kalau kita xrasa gagal kita xkan ada motivasi n 
Negative,1 may aku postedih karena gak bisa nonton homeshake amp mild high club di jakaa dan cosmo pyke diingapore 
Positive,ya allah aku berlindung kepada mu dari siksa kubur dari siksa neraka jahannam dari fitnah hidup dan mati dan dari f 
Neutral,rlt yang suka jb2 yuk followan aku butuh temen ngobrol ga cuman butuh followers rt aja yaaa
Neutral,memang best tengok ikan datang aku pon pernah buat dekat pulau bagi makan roti tapi perbuatan tu salah ikan kene ma 
Positive,kuis lagi kuis lagi emang daihatsu baik banget yaahabat bagi bagi hadiah pulsa terus kuis kali ini kamu harus menebak 
Neutral,kalau tak bersungguh nak jaga aku boleh je berhenti berpura2 aku boleh jaga diri aku tanpa memaksa kau kau tak perl 
Neutral,ab yg bucin exo mutualan yuu rt rep yaa dn aku ada nya janji follback kenalan ya 
Negative,sakdurunge koe dadi uler aku wes dadi kupu dadi saranku rasah perlu ngetoke goblokmu nganggo coro mbanggake bab nakalm 
Positive,stay beside you was my job hehee sayang kamu 
Neutral,sebenernya aku gapapa sih which is itu tuh penting bgt kan karena english tuh literally international language tp prefer bah 
Negative,dah lah cpk aku
Negative,sedih bila aku dengan cerita dr patient aku huhu makcik nie masuk ward sebab heart attack baik sngt suka tegur aku senyu 
Neutral,benda yang aku rasa tak perlu nak bawak gurau 1 rupa paras 2 bentuk badan 3 insecurities kita contohnya kita gagap pas 
Neutral,ga ko aku juga pake bagpack
Positive,hahahahaha terhibur betul lah lol semua tempat dia tiful kan ingat ke aku sorang je perasan typo dekat caption tu 
Neutral,aku meninggal nanti aku harap tak adalah orang yang post gambar kubur aku letak caption panjang lebaq kau sedekah al 
Neutral,aku ingatkan berhari hari takda data ada la org cari aku dekat ws rupanya takda langsong 
Neutral,baca ni aku tergolong org yg kaya 
Positive,fams sama aku yuk 
Neutral,hari2 kalau tido brape jam je boleh mati sia otak aku 
Neutral,hi semuanya aku adain give away nih give away nya album bts yg love yourself answers yey cukup follow dan retwee 
Neutral,sembang dengan budak legend aku kau belajar kat mana main ml memboi 
Negative,aku nangis nih 
Neutral,bts aku sedang sibuk menafkahi keluargaku dan mengejar impianku army aku sedang sibuk menafkahi orang yang sudah je 
Positive,aku cuba nak amalkan sikap pergi mampus tapi sayang aku gagal sebab aku jenis mudah kesian dan mudah memaafkan 
Negative,aku ditusuk dr belakang sakit 
Neutral,askmf ayah aku ayah kan gak suka pedes tp kenapa masakan mama yg pedes tetep ayah makan soalnya mama kamu m 
Neutral,aku tahu kalau check in the girls akan idamkan peluk sambil tido but then tak rasa kebas ke lelaki statik je tido mcm tu na 
Neutral,tahukah kamu 14eptember diperingati sebagai hari kunjung perpustakaan peringatan ini dimulai sejak tahun 1995 oleh p 
Neutral,aku tak tahu kenapa bila time gaduh je english aku automatic power aku rasa time exam nanti kena gaduh dulu before jawab 
Neutral,nctea selama ini aku cuma tau fotonya jisung aja yg disini dan sekarang udah tau video nya mission complete https 
Neutral,tadi kt dapur nk mkn aku nyanyi la lagu aizat jika ku air wudhukmu menjadi serimu dalam lima waktu mak pun sound da 
Negative,selama ni mmg ketinggian tk pernah jdi penghalang rupa yg selalu menjadi penghalang 
Negative,sedihnya rasa kadang kadang bila doa yg aku doa termakbul walaupun aku bukan hambanya yg terbaik allah tau apa yg kita pe 
Neutral,aku tambahin deh nih
Negative,i baru 3a hm mengecewakan hang takmau a tu mai kat aku ' 
Neutral,aku pernah ketemu lisa blackpink lagi solat di mesjid thailand dia wudhu juga aku liat 
Positive,wkwkwk gt lt berdoa aja kamu lip yg banyak semoga ganteng wowognya 
Neutral,aku macam tahu je siapa bdhshshhs
Negative,tapi aku tgok lelaki asia pun mostly lpas kawin badan naik dan boroi 
Neutral,kamu akan tanya karena aku pun juga mau tanya 
Positive,udah tau ikon dari jaman win yang aku suka pertama itu taehyun terus suka yunhyeong aku dukung ti 
Neutral,aku lg baca buku ini yg suka puisi yuk reply halamannya dari 2 sampe 153 nanti aku fotoin rlt 
Neutral,kenapa nama kucing sama denngan nama aku 
Positive,gilaaa beliin aku dong kak 
Neutral,aku jual yg penting emailnya masih aktif
Neutral,ayo siapa lagi yang mau 
Neutral,freebies alle yuk cari aku di venue dan ikutin rules di gambar ini untuk dapetin freebies idealcutinjkt apinkinjkt 
Neutral,woooojin apaaa jihoon ha
Neutral,kahkah tu lah aku confuse ni hmmm
Negative,wanita yang paling malang di dunia adalah wanita yang tersalah pilih suami isteri adalah cerminan suami cantik suamimu cant 
Neutral,ga yg ini aku masih pilih2 pemenangnyausah komentarnya pada bagus2 jdi bingung pilihnya tunggu sebentar lg okem 
Neutral,bila cg intai kertas exam masa kau buat 
Negative,me doin math paper 1 hshshshshshsh bodo asal takama dgn jawapan aku hshshssh 5 minit lagi tembak 
Negative,gila punya perempuan gaduhikit sampai 7 bulan tak tegur lelaki gaduh hari ni esok dah stable sesama 
Neutral,mau acc kamu jadi rame yuk upfoll di aku gt lt harga dan rules bisa cek pinned ya t upfoll rp
Negative,yng aku blja a yng kuar ujian b yng aku jwb c dan aku dpt gred g ehh taknk la yg dapt btul2 a 
Neutral,wao ada ainul ada manul dekat gtdc tapi tulah aku takdak ah kat situ baik balik boh 
Positive,kalau kamu mau dihormati harus mau menghormati
Neutral,aku daftarr g jfclosedday
Negative,makin aku besar makin banyak perkara yang aku pendam dan tak kongsi dengan orango jangan pelik kalau aku dah tak kuat semb 
Positive,tolong lah setiap hari tu sebelum tidur tanya diri sendiri dan self reflect perangai babi sampah apa ye aku buat harini 
Negative,tadi pamitnya tidur tapi aku cek ig di dm kamu kok ada ijo ijonya ya 
