Sentiment,original_text
Negative,"""Ayo Alex, jangan udik.."" gumamnya merutuki diri sendiri.\n\nIa lanjut menulis, \' Atmosfer di planet ini belum cukup baik untuk ditinggali manusia. \''"
Negative,"bocah pada ngajak nongton galapremiere, ane tanye pelmnye ape? 'Pengabdi Setan' kate doi pade~\n\nane kire dikibulin; egataunye beneran dong brengsek! :)) URL"
Negative,"""brisik"" YA BISTU LO BRISIK JUGA BAHKAN LBH BRISIK BACOT TOLOL ANJING MANUSIA GA TAU DIRI'"
Negative,"'Cinta tidak harus memiliki' kata org yg tdk prnah dicintai, wakaka kasian bgt yg suka bilang kya gtu. Cinta itu harus memiliki, bego."""
Positive,"Dari jurus 'Orang Gila Mengebut Lalat,Ajian Tatar Bayu,Jurus Kunyuk Melempar Buah,Dewa Tidur,Pukulan Matahari,Ajian Ngrogoh Sukmo,Hanya Siulan Kapak Naga Geni 212 Yang Bisa Mengalahkan Dewi Siluman Bukit Tunggul\n#wirosableng \n#siapsableng \nUSER \nUSER URL"
Negative,"DISEBUT 'KAMPUNGAN' OLEH NAGITA SLAVINA, BEGINI REAKSI AYU TING TING\n\nArtis peran Nagita Slavina secara terus terang menyebut aksi goyang dangdut yang dilakukan Ayu Ting Ting kampungan\n\n#NAGITASLAVINA #AYUTINGTING #RAFFIAHMAD #KAMPUNGAN URL"
Positive,"Even dah setiap hari tengok pon, still tersenyum. You're so cute. \xf0\x9f\x98\x8d"""
Positive,FIFA siasat isu `suara monyet' aksi Perancis-Russia URL
Positive,"""Hah?"" Ari melongo sejenak setelah mendengar ucapan orang yang baru saja meneriakinya. \n\n""Punten, mas, di deket situ ada anjing saya, enggak?"" URL"
Negative,"iya, jadi gitu ya monyet, anjing! gua gampar lu lama-lama. kesel jadinya astaghfirullah hal'adzim, gaboleh ngomong kasar, maapin 3x, NGENTOT URL"
Positive,"Jangan suka pamer.. \nKarena gak ada orang yg benar2 peduli tentang apa yg kau pamer kan. \nBukan pujian yg akan kau dapatkan, melainkan mereka akan mengatakan 'KAMPUNGAN'."""
Negative,Kalau gini mreka pasti pura2 budek \n\xf0\x9f\x98\x81\n\nKH Ma'ruf: Prabowo Jangan Cuma Bikin Gaduh \xe2\x80\x93 VIVA URL
Positive,"Kata-kata 'bodoh' 'dungu' dan 'idiot' semua secara teknis mengacu pada seseorang dengan nilai IQ di bawah 70. #Psikologi"""
Positive,"""Kau yang mulai maka kau juga yang harus selesaikan."" (3 idiot). #TweetDSAP'"
Positive,"""Kita akan belajar giat, dengan penuh dedikasi, tapi bukan hanya untuk lulus ujian."" (3 idiot). #TweetDSAP'"
Negative,"Lucunya adalah kak pacar nyadain ini telat bgt guys. Gue rasa pengaruh mecin tuh emang bikin kita slow respon/agak bolot gitu. Dia terbirit-birit nelfon gue pas udah di pintu 1 panik nyariin cemilannya dong -,;\n\n'sayang, ketinggalan cemilanku ada di kita?????'\n\nOrgil \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad"""
Negative,"'mau crita anjir sedih banget'\n'iya crita aja didengerin kok' \n'iya masa ya.......'\n'LAH SAMA'\n\nujung ujungnya dia yg crita, aku yg dengerin :)"""
Negative,"Nikmat'a ngentot.... Pi gengen yg hoot"""
Positive,"""Pengetahuan tidak dapat menggantikan persahabatan. Aku (Patrick) lebih suka jadi idiot daripada kehilanganmu (Spongebob)'"
Positive,"RT USER: USER USER Dia lupa ini twitter, bukan instagram yang kalo foto pasti ada yg komen 'ih cantik' 'cantikan kamu lah\xe2\x80\xa6"""
Positive,"RT USER: Di zaman sekarang, orang yang paling 'aman' adalah orang yang buta huruf dan budek, atau wong ndeso sing gak eruh opo-opo\xe2\x80\xa6"""
Positive,"RT USER: Kata-kata 'bodoh' 'dungu' dan 'idiot' semua secara teknis mengacu pada seseorang dengan nilai IQ di bawah 70. #Psikologi"""
Negative,"'Sayang sekali punya paras nan cantik kumpul ama cowok gembel, dibawa gembel mau, makanya suka gengsi kalo mau pacaran eh lihat difoto-fotonya ada sama cowok gembel, nonkrong pinggir jalan, apa gamalu yah. \xf0\x9f\x98\x82 percuma cantik kalo otaknya murah. \xf0\x9f\x98\x82"""
Positive,"Scroll insta dak Farah ni tetiba terasa mcam cerita '3 idiot'... Gambaq pra matang semua \xf0\x9f\x98\x82"""
Negative,"Solo rank di Comeback'n sakit \xf0\x9f\x98\x82\nAne baru tau klo tank takut war \xf0\x9f\x98\x82\n\n#hilda CCd \xf0\x9f\x98\x85\nEmosi bangke \xf0\x9f\x98\x85"""
Negative,"""teko o rek!""\n\nmksdnya bukan arek, tapi perek'"
Positive,"""Tidak peduli sesulit apa aku menghadapi sesuatu, aku akan tetap tersenyum seperti orang idiot"" - Chanyeol EXO K'"
Negative,"Udik sambil takjub gituuu...\n\nGileeee, canggih ye mobil sekarang, berasa naek 'kit reder` (Knight Rider starring David Haselhoff) , bisa ngegas dan ngerem sendiri..."""
Positive,"Yang broken time ii muda ni, tolonglah jangan lah broken. Korang ada masa depan do. Jangan sebab cinta monyet korang tak dapat nak achieve your freakin' goals though."""
Positive,#AtongKEPOH Suka gak sama monyet?'
Negative,#BeritaIslam: Rabbi Israel Sebut Orang Berkulit Hitam Sebagai \xe2\x80\x9cMonyet\xe2\x80\x9d Picu Kecaman Keras URL
Negative,#Boikotindosat ini si kuning taiiii pulsa pagi tadi Rp. 2000 an masih kepotong juga tinggal Rp. 1. padahal gk di ngapain... bener gk menghargai pelanggaan sepertinya. budek... taiiiii'
Negative,#catat!Terimakasih sudah menjadi orang idiot pertama dan terakhir yang membuka hatiku utk mengerti apa itu persahabatan'
Positive,"#IcanxLove bukan cinta monyet, bukan cinta layaknya remaja lain. perasaan itu bertahan hingga sekarang'"
Positive,#ICYMI SWAT SFC selamatkan monyet proboscis URL URL
Negative,#ILCPrabowoMenyerang ilc sukses undang orang gila karena ahok kalah ampe lupa potong kuping gila gila gila gila gila beneran \xf0\x9f\x98\x81'
Negative,"#ILCPrabowoMenyerang setelah minggu lalu ilc enggak mutu, kini sangat luar biasa karena dpt menghadirkan orang gila tampa kuping\xf0\x9f\x98\xb5'"
Positive,#Indobet365 #ResultJapan\nKeluaran Togel Japan Hari Rabu 28 Maret 2018\nResult : 9 1 0 3\nShio : Monyet\nURL URL
Negative,#OpenBoSurabaya USER\nmasih online aja kau\nsempak\nakun tipu2 bangsat\nbajingan kai'
Negative,"#persijatakutkalahdijakarta\nDasar pLersija, dengkul laler. Banyak alesan lo jakAnjing! Olo olo sia banyak bacot!!!'"
Negative,#rlp disini banyak yeoja yg fwb ngentot rl &amp; foreplay *cuma ngasih tai'
Negative,#rlp yeoja tantik culik gw donk bawa ke rumah luh .gw nguntungin lo. tar bisa ngentot spuas nya truz bisa di sembelehin ndiri kok'
Negative,#TemanMakanTeman Itu ketika ujian dia tdk tahu dan kita memberi tahu tp pas kita tdk tahu dia pura2 budek kalau di panggil USER USER #ReuniZ'
Negative,#TemanMakanTeman Ketika dia udah janji bakalan ngasi nyontek untuk ujian tp pas giliran ujian dia malah pura2 budek USER USER #ReuniZ'
Positive,#Tetes Anjing dan Neraka | Oleh: Emha Ainun Nadjib\nURL
Negative,"*di kantor*\nTV: *nayangin berita driver grab yg ngirim death threat ke cewek tuli*\nBundo: *pake suara kecil* ""Tai, ampe di death threat gitu sial""\n.\n.\n.\n.\n.\nkish, kebiasaan lu ngomong jorok untung lu ngomongnya pake suara yg kecil.....'"
Negative,"*dimall*. Pak, Mama Aku Hilang. Security Bentar Ya. *cek Cek"" Pengumuman U/ Org Tua Asu. Yg Merasa Kehilangan.'"
Negative,"// Aduh lucu banget adek kelas gue pas SMA laporan katanya ""bang hari ini kita field trip ke Taman Safari, heran dah (nyebut 1 nama temennya dia) mau arisan ama keluarganya aja bawa 1 sekolahan.""\n\nTai, arisan.'"
Negative,USER yeah i stalked hahhaa i mmg suka stalk org bodo nak tengok sejauh mana kebodohan dia'
Negative,"USER #PakcikDahTUA nak apalah kudrat pakcik ni boleh buat setakat pakai kopiah, minta sedekah jual kismis\n\n#PakcikMudaLagi bila pakcik warna rambut kuning bawak duit banyak2 \n\n#KitaOK kan \n\nIni adalah ANJING &gt;&gt;&gt; \xf0\x9f\x90\xbc\xf0\x9f\x90\xbc\xf0\x9f\x90\xbc'"
Negative,USER Barisan banci kamera klo kata ank zaman now mah \xf0\x9f\x98\x80'
Negative,"USER Lo tuh yg bencong, bacot lo lebih2 dari cewe. Kaya banci yg ngamen gak dikasih duit bacotnya \xf0\x9f\x98\x92\xf0\x9f\x98\x92\xf0\x9f\x98\x92\nMending lo cakep mah, jelek Kaya gitu.\nMadesu lagi \xf0\x9f\x98\x84\xf0\x9f\x98\x84\nMentioned Gw langsung di quote tweet \xf0\x9f\x91\x8e\xf0\x9f\x91\x8e'"
Negative,USER Udik lu'
Negative,USER BANGKE TIPONYA PARBET NJIRRR\n\nGAK LIAD GUA CHUW'
Negative,"USER :"") kasian banget asw'"
Negative,USER eMANG UDIK BFJGFDG GA NGERTI SAMA BOCAH SATU ITU'
Positive,USER kucing i kalau terbuka pintu sikit terus panjat pagar \xf0\x9f\x99\x84\xf0\x9f\x99\x84 belajar dr monyet ke apa'
Negative,"USER anjir lucu banget animasinya :""D dewa'"
Negative,USER Klo gk mau macet pulng aj lo ke kampung sono.. Dsar orng udik.. Masih nyri makan sma buang tai aj lelaguan... #anakjakartaasikasik'
Negative,"USER USER USER USER USER USER USER USER USER USER USER \xf0\x9f\x99\x8f\xf0\x9f\x99\x8f\xf0\x9f\x99\x8fbukan ""KAMPRET TAPI KECOA """" yg hidupnya makan TAI semakin besar bikin penyakit , \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Cebong mulia semakin besar BASMI NYAMUK hilangkan penyakit \xf0\x9f\x98\x9c\xf0\x9f\x98\x9c\xf0\x9f\x98\x9cmakanye kecoa tu ade obat pembasmi KECOA \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
Negative,USER Haha lancau semua ni babi betul dah la nak sambung kerja'
Negative,USER Anjirr paypal asu bgt ngena fee nya ke aku'
Negative,"USER Kampret nih si Jimmy...loe dapet duit dari niru2 ulama, ulama malah loe goblog2in. Loe yg goblog bin Bahlul. Mendingan loe copot tuh atribut2 palsu loe, ganti seragam cebong.....loe bakalan mati sengsara di adzab sama Allah. Aamiin\n Loe liat aje nanti...'"
Positive,USER Wkwkwkwk.... bukan gila bang.. mikirin kuping dia..'
Negative,USER Vcs yuk tante kontol gede nih'
Negative,"USER USER USER USER USER Bukan cuma bangsa, bajingan anjing. Babi goblog. Itu jauh lebih tepat'"
Negative,"USER USER USER Jdi wowo presidennya tv one, makanya yg diundang slalu pentolan para kampret dan gembel warnet.. Hahaa'"
Negative,"USER USER USER Kelihatan asbun.. SBY gak pernah dukung jkw tong, demokrat masuk oposisi..waduhh kok tmbh kelihatan ngawur gini gembel warnet yg satu ini.. Hhaaa'"
Negative,USER Gak kreatif luu kunyuk'
Negative,USER Ngakak mulu lu kunyuk'
Negative,USER USER USER USER USER USER twt gw masih udik kayaknya masih perlu dididik lebih keras lagi'
Negative,USER USER Maaf sebenarnya twiter pertama kali dbuat bukan buat orang bego'
Negative,USER bukan banci tapi bener-bener banci'
Negative,USER kaya tai congor jebleh lebar kaya anjing'
Negative,USER USER Babi la terkejut \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad'
Negative,USER Ah anjir favorit gue bgt'
Negative,"USER hahaha.... bikin yg nonton pada ikutan sarap, kyak dadan klo udah main2 gitar...'"
Negative,USER USER Gw malih rupa dulu ah jd kampret biar di follow USER trus ntar di selimutin. Ee tp jgn di tidurin yaa \xf0\x9f\x98\x86'
Negative,"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'"
Negative,"USER USER USER Si kunyuk USER dan para penyembahnya yg bilang ahok menista agama? Phuahahaha....bilangin si kunyukk itu, klo mau jd laki2 ya jadilah laki2 yg sempurna yg tdk bermental pecundang.'"
Negative,"USER woiii kampret!!! gelik gue liat lu,belagu amat jd orang.songong!!! minta di penci jidat lu hah?!!'"
Negative,USER Enak tuh ngentot sama straight'
Negative,"USER USER Kecoa cume mlongo nya loe yg suke di got TAI \xf0\x9f\x98\x9c\xf0\x9f\x98\x9c\xf0\x9f\x98\x9c, kyanya kecoa senengnye makan tai mangkanye banyak di septi tank \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
Negative,USER USER USER Yang juara ngibul kan junjungan kalian wahai bani kampret 212'
Negative,USER Bajingan emang indosat -_-'
Negative,USER Apalah kau ini bener2 bangsat bodoh tolol bajingan tengik'
Positive,USER Si amat emang nggak bodo. Gue bilangin amat nih lo bawa2 nama dia.'
Negative,USER Babi kaulahhh maju lu sini anjinggg!!'
Negative,USER USER USER Mampus lu gembel kalah debat kan sama anak kecil. Kelihatan bahwa lu itu kaum cetek. Tau artinya? Kaum yg pikirannya dangkal dan sifatnya memaksakan argumennya diterima padahal bodoh'
Negative,USER apakah terlihat spt banci? URL
Negative,USER USER USER USER Titip bogem aja vroh ... Dibiarin ngelunjak tuh kunyuk'
Negative,USER USER Bangke luh...'
Negative,USER Minta maap ga ada tampang2 nyesel tuh org..bangke..'
Negative,"USER USER Bikan Kaya Orang Bego,Bro ?Tapi...Memang,B..EGO.'"
Negative,"USER Hahaha mcm babi ayat, pandai tak berotak'"
Positive,USER USER Bencong tu apa'
Negative,USER DM(di memek)maksudnya ndok'
Negative,USER Enak tuh kalo muncratnya di dalem memek qm'
Negative,"USER USER USER USER Emng bego, pake tag gw.'"
Negative,USER Bacot lu diyem'
Positive,USER USER okokok'
Negative,USER Dia sbnernya punya 2 akun pir. Di akun satunya it cerita pendek tapi jelas dan brengsek. Kmren pas aku baca maaih ada 7 crita dan aku baca smuanya skaligus. Tpi skrng udah d unpub smua'
Negative,"USER Ncib nya lagi jelek, pelcija bagus sih tapi goblog.'"
Negative,USER USER Goblok permanen....\xf0\x9f\x98\xad'
Negative,USER USER Tak weh aq bukan yg amek kesah pasal kerajaan pesemua ni buat bodo je as long as aq hidup tenang tanpa beban cukop'
Negative,USER Mantap memek nya jd croot nih..ooohhhhh lemes'
Negative,"USER Demi apapun, ah elah gembel banget belom sempet screenshot'"
Negative,"USER Oh scamming. Ya urus lah bego, orang lu butuh'"
Negative,USER USER USER Makanya banyak bergaul ya bro bukan digauli ya..wkwkwkw...7 tahun dikhianati coy...#sakitnyaditelor#...mau kencing onta mau tai babi suka suka kau bro..yg penting gak iq200 sekolam la bro...huahuahua...'
Negative,USER USER USER USER Laknat sama siapa? Tuhan?\nElu doain gue?\n\nDoa org tolol dan buta tak diterima tuhan...masa doain di laknat...mungkin aja cacian dan DISRESPECT org sama elo itu laknatnya tuhan sm elo hahahhahahhah\nKasihan ya org indo..sekolah subsidi..ilmu abal2'
Negative,USER USER USER USER Eh kunyuk itu yg ngembat dana umroh lu diem aja apa ikut kebagian ya'
Negative,USER USER USER USER USER BACA MULAI DARI JUDULNYE NYET BIAR GK JADI DOMBA IDIOT!!!'
Negative,"USER USER USER Pernah denger dulu, sebelum ada rumor itu katanya emang ada yang namanya matthew tapi bukan orang Indonesia. Nah itu dia yang bikin bingung, tiba-tiba muncul nama matthew soeharsono, yang sekolah di sini rumahnya disini. Sampe make foto martin tai kan'"
Negative,USER USER bukannya dia USER juga tuak..berarti dia BRENGSEK juga ? \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94'
Negative,USER USER USER USER USER USER USER USER Nambah 100 bisa nyewa pecun'
Negative,USER baca berulang ulang tetep ga ngerti gara gara libur trus jadi goblog lama lama'
Negative,"USER USER permintaan maaf si kunyuk ini ga ada artinya, otaknya tetep aja nyinyir'"
Negative,"USER Heran juga saya, setan iblis pada kabur dan takut kalo mendengar Azhan, tapi ini mahluk Allah yg satu ini anteng saja denger azhan bahkan pura2 budek kupingnya, kalah dong setan iblis.'"
Negative,"USER Heran juga saya, setan iblis pada kabur dan takut kalo mendengar Azhan, tapi ini mahluk Allah yg satu ini anteng saja denger azhan bahkan pura2 budek kupingnya, kalah dong setan iblis.'"
Negative,USER wkwkwk sompret anjir nasib sama sama buruk gitu? ngakak bangsul'
Negative,USER USER USER tolol! Die gaada sangku pautnya! Ngapain lu blg pengecut?dasar tolol'
Negative,USER Sini aku jilatin sayang memek mu'
Negative,"USER USER USER Awalnya udh tau sih tp gapeka. sampe gini\n""Gara gara shooky jdi burem warna warni gini videonya hahaha"" (ngmng sendiri cem org sarap) :v\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'"
Negative,USER USER USER USER USER Kmrn galak2 klo ngomong. Skrg sibuk klarifikasi. Dasar bajingan'
Negative,USER USER USER USER USER Lagian ni kunyuk knp ributin kawinan anak jokowi yg udah brp bulan y.l\nMake ini mah'
Negative,"USER USER USER USER USER kunyuk raimu.klo mo bacot ga mikir dlu,percuma lu dduk du dewan?'"
Negative,USER Manis anjir gakuat gua le'
Negative,USER Alay tai kyk bocah sd lol'
Negative,USER bacot bat bgst'
Negative,USER bacot lo. -jkt'
Negative,"USER Bodo amatin aja. Yang kaya gitu, makin dikasih perhatian bakal makin menjadi jadi'"
Positive,"USER Critical Eleven, Posesif, Habibie &amp; Ainun, Laskar Pelangi, Marlina si Pembunuh Dalam Empat Babak, Sekala Niskala, My Idiot Brother, film-filmnya Ernest juga kocak tuh wajib ditonton'"
Negative,USER Humor anjir qkwk'
Negative,USER kalo aku: bodo amat-in atau ngelakuin hal2 yg disuka buat nge-distract dari pikiran2 begitu'
Negative,USER Lagi membela diri sekaligus nyari pembelaan ini tuh? Sekalian carsen juga ya? \n\nGua kalo jadi lu kaga bangga belajar 2 mapel doang asu.'
Negative,USER pisang apaan asw gede bgt//'
Negative,USER SAMA ANJIR. menurut gue udah bener banget tapi ternyata zonk?!?!'
Negative,"USER Sumpah ya paling gasuka sama orang norak gini. \nKalau pengen berisik, sewa aja tuh satu studio! Gatau diri. Udik ew'"
Negative,USER Tak perlu dibajak. Bacot elu babi. Mending kita gelut saja'
Negative,USER Tolol lu njink'
Negative,USER USER USER USER Terlalu biasaaa andaa. Dasaaaar bolot puser lukaku'
Negative,USER Ngambang kaya tai jir'
Negative,USER USER bodo amat akun capek'
Positive,"USER WKWKW kadang suka bingung sama rangorang yg bikin perjanjian sama iblis, kok tanggung gitu. Kenapa ga bikin perjanjian yang memperkaya diri tapi juga sekalian buat kemaslahatan umat dah. Kan sebaik2nya hidup adala yang bermanfaat untuk orang lain~'"
Negative,"USER Dunia kan penuh munafiqun sok suci seperti ente.\nKalo semisal itu Ahok, pasti lo bilang KALAU GAK SALAH KENAPA KABUR?\nTapi karena itu si cabul adalah si jijik, ente jilat memek sendiri... ente bohongi diri sendiri.. ente gak nanya kenapa kabur kalau gak salah.\nMEMEK BOSOK!'"
Positive,"USER Haiii aviaa maap baru liat mensyennya, maap udik banget gw lama gak buka twitter gini kwkwkwkwk. Apakabsss lo??'"
Negative,USER USER Sama aja ku ber2 kunyuk'
Negative,USER iya kampungan... alay mah kalo nonton bola ke singapore sama johor malaysia URL
Negative,USER Banci kampungan HEEEE!!!'
Negative,USER Jokowi tai asu'
Negative,USER USER Setelah mengantar anak skolah liat2 dunia maya eh kok ada kalimat yg pas utk gembel warnet mknya lgs aq cc in biar gak lupa\xf0\x9f\x98\x81\xf0\x9f\x98\x81\xf0\x9f\x98\x81'
Negative,"USER Hahahahahah babi migraine aku plak tweet, caring betul dkt babi. Ye lahh hg reply tweet aku lepas keluarkan brim td ni. Good timing'"
Negative,"USER manusia2 tolol semua pada takut Ahok keluar, kasian bangat hidup kalian disana, bengitu idiot and stupid.'"
Negative,USER USER USER USER Muke lu mirip monyet'
Negative,USER Apakkk kau babi \xf0\x9f\x96\x95\xf0\x9f\x98\x91'
Negative,USER Wah brengsek nih. Ketauan yg punya bisa mampus aku. :(('
Negative,"USER Tu pisang bule Mn ko gak neko "" pkai profil kontol Mr Mr bule ya ? Q mau kontol km cyg'"
Negative,USER USER USER Yg bego USER nusantara'
Negative,USER Kapal kita karam:((( monyet kasihan patah hati:(('
Positive,USER Pembiakan kumpulan maki hamun dan buli dalam twitter\n\nAwak suka ke banyak anjing liar berkeliaran dan banyak lagi kawan2 awak menyertai #BangsaAnjing\n\nIni adalah Anjing &gt;&gt;&gt; \xf0\x9f\x90\xbc\xf0\x9f\x90\xbc\xf0\x9f\x90\xbc'
Negative,"USER Victor baru sekali berkoar aj kalian udh kyk kbakaran jenggot!!\ngmn klu Viktor berulang kali berkoar di sana-sini, di masjid, di jalanan sperti si banci USER guru besar kalian?? apa lgi Viktor chat mesum...pasti kalian bkin rusuh sedunia\nDASAR MUNUSIA MUNAFIK!!!'"
Negative,"USER Aadren mengerti apa yang dirasakan puan itu. Pasti sangat menyakitkan. Apalagi melihat kekasihnya bersama orang lain. \n\n""Kau harus tegar. Kau tak boleh menangisi seorang bajingan yang tak sepantasnya kau tangisi.""'"
Negative,"USER USER Dari seteru ayah anak, mau nembak meleset, eh kakaknya juga diincar. Sinting kan. \xf0\x9f\x98\x85'"
Negative,"USER heh kontol, jan sok pemes lu di rp, muka kek memek, org tua lu kek monyet, agama lu aje agama kontol 35'"
Positive,"USER Sore Kak Saiful, boleh di restart dulu modem sama STB nya ya. Soalnya mimin cek jaringannya terkoneksi cuma sedikit melambat. Ditunggu kabar baiknya. Thx -Ardil'"
Negative,USER bodo anjir ngapa uangnya kek gitu si wkwkw'
Negative,USER Karna lu jbjbnya udah siang coba tdi pagi pasti masih pagi yakan? Tolong jangan goblok tang wkwk'
Positive,USER gua mendadak budek'
Negative,"USER Ga mau ah, pak rt nya bolot :('"
Negative,USER udik bener kasian. mau ditidurin?'
Negative,USER tai apa yg terakir'
Negative,"USER USER Udah minta maaf kunyuk USER bro.\n\nEnak bgt rasan mereka....sebar hoax, minta maaf....sebar hoax lagi, minta maaf lagi.\n\nMesti d sapu dulu USER biar jera nih orang.... URL"
Negative,"USER USER Udah tau bego gak belajar, jadi mau ngatain goblog. GOBLOG LU!'"
Negative,"USER USER tai kucing lo ahh, pengecut!!'"
Negative,USER USER USER jual memek kok di sosmed dasar pecun!'
