word,Sentiment
sekam,Negative
maafin,Negative
memahirkan,Negative
menggalakkan memanas-manasi,Negative
ngambek,Negative
ampun,Negative
terbalik akal,Negative
tidak masuk akal,Negative
gangguan jiwa,Negative
majenun,Negative
gelo,Negative
gila-gila,Negative
kalap,Negative
sedeng,Negative
berubah akal,Negative
serem,Negative
terlalu,Negative
sakit jiwa,Negative
gendeng,Negative
berubah ingatan,Negative
sinting,Negative
gila,Negative
sakit ingatan,Negative
sesat akal,Negative
duh,Negative
emg,Negative
hujan,Negative
aduh,Negative
cerita khayal,Negative
typo,Negative
langkah baik,Negative
isapan jempol,Negative
engah,Negative
mafhum,Negative
fiksi,Negative
omong kosong,Negative
bales,Negative
profit,Negative
waris,Negative
selisih,Negative
senjang,Negative
bareng,Negative
ekstasi,Negative
laper,Negative
hendaknya,Negative
membandel,Negative
ngaku,Negative
kiranya,Negative
telat,Negative
kopong,Negative
ngerti,Negative
keduniaan,Negative
nol,Negative
nyari,Negative
sorry,Negative
peranakan,Negative
bastar,Negative
tega,Negative
berdenyut,Negative
kayaknya,Negative
sibuk,Negative
ringan tangan,Negative
bergelora,Negative
sampai rasa,Negative
energik,Negative
membara,Negative
berkobar-kobar,Negative
menyala,Negative
mentolo,Negative
sampai hati,Negative
bersungguh-sungguh,Negative
tren,Negative
menyembur,Negative
imbas,Negative
aliran udara,Negative
melesit,Negative
rahayu,Negative
kemungkinan,Negative
menggusari,Negative
mencurat,Negative
memarahi,Negative
topan,Negative
tembis,Negative
mendamprat,Negative
suak,Negative
bongsor,Negative
bias,Negative
rajaman,Negative
rantus,Negative
gentas,Negative
nanya,Negative
melelah,Negative
bosen,Negative
maksudnya,Negative
bersusah hati,Negative
berkabung,Negative
receh,Negative
bermuram durja,Negative
pls,Negative
berlara-lara,Negative
opp,Negative
seneng,Negative
bersungkawa,Negative
bersusah,Negative
peluk,Negative
tt,Negative
menepis,Negative
obsesi,Negative
dekap,Negative
gausah,Negative
sengsara,Negative
buru-buru,Negative
kencang,Negative
kilat,Negative
begini,Negative
akas,Negative
mendahului,Negative
mengadang,Negative
suruh,Negative
terampil,Negative
pesat,Negative
sebat,Negative
sput,Negative
filsafat,Negative
dogma,Negative
imut,Negative
doktrin,Negative
lapar,Negative
dominan,Negative
masif,Negative
keliatan,Negative
keras tulang,Negative
tangguh,Negative
keseser,Negative
maksa,Negative
bertanduk,Negative
luput,Negative
jaman,Negative
menggeliat,Negative
tumpas,Negative
keok,Negative
tercecer,Negative
beterbangan,Negative
berpengaruh,Negative
lipur,Negative
bedegap,Negative
besar lengan,Negative
gelibat,Negative
suka cita,Negative
pacaran,Negative
bersemangat,Negative
berbahagia,Negative
berdesir,Negative
tersuntuk,Negative
adek,Negative
block,Negative
pening,Negative
apanya,Negative
kliyengan,Negative
pusing,Negative
jenguk,Negative
akunya,Negative
runyam,Negative
luyu,Negative
mikir,Negative
elusif,Negative
kuat (dugaan),Negative
memihak,Negative
boong,Negative
tandang,Negative
kesian,Negative
sayu,Negative
cenderung,Negative
selit-belit,Negative
preseden,Negative
miss,Negative
napa,Negative
ikutan,Negative
baik-baik,Negative
kesel,Negative
intensif,Negative
closed,Negative
maap,Negative
maafkan,Negative
kalem,Negative
ndak,Negative
rantaian,Negative
pinter,Negative
mesti,Negative
diserang,Negative
benak kepala,Negative
otak,Negative
daya pikir,Negative
wajib,Negative
dedengkot,Negative
ketagihan,Negative
bogem mentah,Negative
gila-gilaan,Negative
nanti,Negative
coretan,Negative
sebenernya,Negative
halah,Negative
alay,Negative
gergaji,Negative
kemasukan,Negative
berbayar,Negative
tukang,Negative
memotong,Negative
bayar,Negative
curhat,Negative
beri (uang),Negative
kesusupan,Negative
pakar,Negative
kawaei,Negative
kebabaran,Negative
berjatuhan,Negative
runtuh,Negative
terperenyak,Negative
penggentaran,Negative
tanya,Negative
pailit,Negative
tersingkir,Negative
melorot,Negative
menetes,Negative
roboh,Negative
tercebur,Negative
membiak,Negative
terjeblos,Negative
menggelincir,Negative
rebah,Negative
nyesel,Negative
biasin,Negative
terjun,Negative
perusuhan,Negative
kedapatan,Negative
tertangkap tangan,Negative
terpelanting,Negative
melubangi,Negative
tercemplung,Negative
jeblos,Negative
diem,Negative
tepergok,Negative
kayanya,Negative
terbanting,Negative
tertangkap basah,Negative
membabar,Negative
terjerembab,Negative
luruh,Negative
tergelincir,Negative
terbuang,Negative
berhenti (tugas),Negative
gogrok,Negative
jelabak,Negative
menyembul,Negative
cape,Negative
cuat,Negative
unjuk,Negative
menyongsong,Negative
kesebalikan,Negative
sekutu,Negative
kekang,Negative
mengelukan,Negative
berasa,Negative
temenan,Negative
purnama,Negative
ekstrem,Negative
pendahuluan,Negative
inklusif,Negative
kebaca,Negative
revolusioner,Negative
asak,Negative
lelang,Negative
permulaan,Negative
radikal,Negative
berjejal,Negative
begah,Negative
telak,Negative
telik,Negative
hati-hati,Negative
ingat-ingat,Negative
jaga-jaga,Negative
entah-berentah,Negative
tajam mata,Negative
kelih,Negative
please,Negative
tae,Negative
awas,Negative
si dia,Negative
gaboleh,Negative
denger,Negative
disuruh,Negative
waspada,Negative
entah,Negative
pelit,Negative
kial,Negative
nemu,Negative
kroni,Negative
bot,Negative
cute,Negative
rekan,Negative
sepihak,Negative
wacana,Negative
tengok,Negative
subang,Negative
komplot,Negative
giwang,Negative
melendeh,Negative
bersimpuh,Negative
mengogah,Negative
menggelesot,Negative
menumpang tinggal,Negative
kuliah,Negative
bulan,Negative
bersemayam,Negative
ampas (kopi),Negative
menikah,Negative
manja,Negative
polos,Negative
bercokol,Negative
cokol,Negative
sia,Negative
esok,Negative
maneh,Negative
himpit,Negative
tindas,Negative
pilih,Negative
ngasih,Negative
kehebohan,Negative
pilih-pilih,Negative
bete,Negative
payudara,Negative
man,Negative
tetek,Negative
keonaran,Negative
buah dada,Negative
biarin,Negative
kegemparan,Negative
dempet,Negative
sebel,Negative
ucap,Negative
bergas,Negative
bergadang,Negative
kawal,Negative
berpengalaman,Negative
sadar,Negative
dukacarita,Negative
apasih,Negative
gugah,Negative
bertindik,Negative
drama duka,Negative
pindah,Negative
oma,Negative
penderitaan,Negative
menugaskan,Negative
asri,Negative
borak,Negative
kepedihan,Negative
pulak,Negative
menyunduk,Negative
rawat,Negative
buyut,Negative
tragedi,Negative
kecek,Negative
andal,Negative
kesialan,Negative
kismat,Negative
daya muat,Negative
mengamuk,Negative
suratan takdir,Negative
kemalangan,Negative
kegeruhan,Negative
iyain,Negative
dikatain,Negative
duluan,Negative
pokoknya,Negative
daya tampung,Negative
daya serap,Negative
kenahasan,Negative
keberuntungan,Negative
bahala,Negative
gerhana,Negative
sedi,Negative
bersengaja,Negative
segitu,Negative
php,Negative
fk,Negative
tendas,Negative
dikira,Negative
gabut,Negative
statis,Negative
pasif,Negative
membatu,Negative
hiatus,Negative
stagnan,Negative
membisu,Negative
membiarkan,Negative
gasuka,Negative
lepaskan,Negative
rasa,Negative
huhuhu,Negative
bungkam,Negative
kosong,Negative
bajing,Negative
rasa hati,Negative
mendiamkan,Negative
tertegun,Negative
kaget,Negative
cabe,Negative
sugesti,Negative
kuota,Negative
lengang,Negative
tengkulak,Negative
campakkan,Negative
syur,Negative
bersanggama,Negative
sepi,Negative
naon,Negative
berteduh,Negative
mematung,Negative
keluarkan,Negative
memaafkan,Negative
menutup mulut,Negative
terperanjat,Negative
melanyak,Negative
menghinakan,Negative
melancarkan,Negative
menistakan,Negative
leave,Negative
melicinkan,Negative
murah,Negative
spam,Negative
mentang,Negative
kepo,Negative
tobat,Negative
mentang-mentang,Negative
meringankan,Negative
astagfirullah,Negative
memudahkan,Negative
titip api,Negative
mencebikkan,Negative
fokus,Negative
menahankan,Negative
resistan,Negative
mengentengkan,Negative
astaga,Negative
maapin,Negative
berat tangan,Negative
berat hati,Negative
lembam,Negative
macem,Negative
realitas,Negative
alpa,Negative
yauda,Negative
gigit,Negative
ihhh,Negative
sorang,Negative
berat pinggul,Negative
merasa,Negative
milih,Negative
kerubut,Negative
penyebab,Negative
kempes,Negative
bye,Negative
mengerubungi,Negative
bertuntun,Negative
ketauan,Negative
serah,Negative
wabah,Negative
uar-uar,Negative
wara-wara,Negative
mengeroyok,Negative
istirahat,Negative
gajadi,Negative
dirimu,Negative
ati,Negative
love,Negative
ngerasa,Negative
jelus,Negative
timbalan,Negative
dajal,Negative
artistik,Negative
mukhlis,Negative
tentangan,Negative
mbeling,Negative
rame,Negative
iri,Negative
ngeselin,Negative
ngatain,Negative
ganjaran,Negative
junjungan,Negative
imut-imut,Negative
seruh,Negative
lurus hati,Negative
lari-lari,Negative
senyum,Negative
seringai,Negative
mengganjar,Negative
panas hati,Negative
keki,Negative
jail,Negative
lemot,Negative
sayangnya,Negative
menghukum,Negative
bukannya,Negative
disayang,Negative
memberi,Negative
membalas,Negative
gemes,Negative
sukarela,Negative
kebiri,Negative
berprasangka,Negative
pahala,Negative
pemudaan,Negative
mohon,Negative
terhenti,Negative
erang,Negative
manah,Negative
mabok,Negative
dipanggil,Negative
mager,Negative
kepedulian,Negative
item,Negative
rip,Negative
membandungi,Negative
haih,Negative
muda,Negative
tuhkan,Negative
memperduakan,Negative
regenerasi,Negative
gubrisan,Negative
pengindahan,Negative
ribet,Negative
master,Negative
iri,Negative
tetap hati,Negative
tertanggung,Negative
diapain,Negative
kira,Negative
pelita,Negative
bernyali,Negative
tangan panas,Negative
merugi,Negative
bernyali besar,Negative
meninggal,Negative
ngerjain,Negative
puntung,Negative
percuma,Negative
percaya diri,Negative
pikir,Negative
merah,Negative
nyali besar,Negative
nekat,Negative
njir,Negative
dipaksa,Negative
pembaiatan,Negative
satria,Negative
masak,Negative
labil,Negative
goreng,Negative
antipati,Negative
kontradiksi,Negative
apalah,Negative
ditinggal,Negative
temenin,Negative
kerumitan,Negative
khilaf,Negative
nihh,Negative
selidik,Negative
mewajibkan,Negative
lagian,Negative
negasi,Negative
meh,Negative
kota,Negative
varian,Negative
semi,Negative
memperkeruh,Negative
mencolong,Negative
kekusutan,Negative
rudapaksa,Negative
telaah,Negative
keruwetan,Negative
sedihnya,Negative
teledor,Negative
hatiku,Negative
kot,Negative
terserah,Negative
terlanjur,Negative
cakep,Negative
tergeleng-geleng,Negative
sepertinya,Negative
kagak,Negative
tercengang,Negative
permenungan,Negative
cengang,Negative
mencinta,Negative
menyesal,Negative
lumayan,Negative
matanya,Negative
berduka,Negative
atraktif,Negative
pamer,Negative
pucat,Negative
terpesona,Negative
banjir,Negative
takjub,Negative
terpana,Negative
bah,Negative
terkesima,Negative
menakjubkan,Negative
memukau,Negative
impas,Negative
menakjubi,Negative
bandang,Negative
terpukau,Negative
tiada,Negative
rasisme,Negative
memesonakan,Negative
sirik,Negative
mengherankan,Negative
bersesal,Negative
gapernah,Negative
rapi,Negative
bertanya-tanya,Negative
penasaran,Negative
tulus hati,Negative
beton,Negative
menunggui,Negative
umpan,Negative
cadas,Negative
lembek,Negative
hih,Negative
menutup,Negative
korban,Negative
kurban,Negative
sikit,Negative
mengawal,Negative
peduli,Negative
bongkah,Negative
bodoamat,Negative
rela,Negative
dengkik,Negative
takda,Negative
obat,Negative
tetua,Negative
error,Negative
anugerah,Negative
dongeng,Negative
jir,Negative
batas (waktu),Negative
impoten,Negative
kiri,Negative
perih,Negative
babi,Negative
habitat,Negative
kenang-kenangan,Negative
reka,Negative
memejahijaukan,Negative
persembahan,Negative
penangguhan,Negative
penyudah,Negative
gebetan,Negative
jutek,Negative
ajal,Negative
pengakuan,Negative
gerombolan,Negative
ora,Negative
gatel,Negative
ketajaman,Negative
mencuru,Negative
nongol,Negative
barzakh,Negative
menyidangkan,Negative
pantes,Negative
ngalah,Negative
pejabat,Negative
keganjilan,Negative
ketidaktentuan,Negative
menjaraki,Negative
sad,Negative
comeback,Negative
udahan,Negative
ugh,Negative
acuh tak acuh,Negative
next,Negative
penutup,Negative
menjenguk,Negative
cuek,Negative
sangkut-paut,Negative
sayup,Negative
ish,Negative
doh,Negative
pantat,Negative
tebal telinga,Negative
keanehan,Negative
mengorek-ngorek,Negative
diet,Negative
syedih,Negative
lugu,Negative
interaksi,Negative
berhala,Negative
kesudahan,Negative
iih,Negative
tai,Negative
kemaknagandaan,Negative
masa bodoh,Negative
final,Negative
dimarahin,Negative
nyuruh,Negative
dibales,Negative
persangkutan,Negative
kampret,Negative
beristirahat,Negative
jin,Negative
mikirin,Negative
murtad,Negative
mogok,Negative
setan,Negative
nyebut,Negative
piye,Negative
gusur,Negative
drastis,Negative
memojokkan,Negative
mencengangkan,Negative
penunggu,Negative
demon,Negative
durhaka,Negative
super,Negative
kesal,Negative
iblis,Negative
baperan,Negative
ngikutin,Negative
sebentar,Negative
mengerikan,Negative
hantu,Negative
makhluk halus,Negative
got,Negative
diam,Negative
bunuh,Negative
siluman,Negative
tumpahan hati,Negative
momok,Negative
berantem,Negative
mangkas,Negative
belain,Negative
sundal bolong,Negative
nahan,Negative
sian,Negative
jahil,Negative
singgah,Negative
bersekongkol,Negative
life,Negative
bidah,Negative
menantang,Negative
berselingkuh,Negative
bergetar,Negative
bohong,Negative
classy,Negative
peristiwa,Negative
melumatkan,Negative
insiden,Negative
oon,Negative
orok,Negative
selingkuh,Negative
nungguin,Negative
bijih,Negative
pelosot,Negative
meremukkan,Negative
keburu,Negative
gadai,Negative
meruntuhkan,Negative
anjing,Negative
naena,Negative
jabang bayi,Negative
membinasakan,Negative
berdalih,Negative
why,Negative
modus,Negative
waduh,Negative
cuti,Negative
bobrok,Negative
tidurin,Negative
cariin,Negative
mengandut,Negative
berdengung,Negative
bakar,Negative
mengganyang,Negative
merusakkan,Negative
menyelusur,Negative
berkonspirasi,Negative
kurus,Negative
berantak,Negative
bully,Negative
berkomplot,Negative
kejadian,Negative
ngomongin,Negative
stalk,Negative
meruntuh,Negative
jeriji,Negative
memasuki,Negative
sange,Negative
berkongkalikong,Negative
serong,Negative
makian,Negative
cemong,Negative
kerasan,Negative
kekurangan,Negative
lilit,Negative
hinaan,Negative
penghinaan,Negative
kurung,Negative
mengecilkan,Negative
cemooh,Negative
malu,Negative
mengumpat,Negative
terabai,Negative
mencemooh,Negative
merem,Negative
lock,Negative
melecehkan,Negative
kelemahan,Negative
kejelekan,Negative
ngilang,Negative
berkerak,Negative
kedaifan,Negative
kehinaan keaiban,Negative
kontras,Negative
mengejek,Negative
perang,Negative
perundungan,Negative
marahin,Negative
berkelakar,Negative
menyakiti,Negative
penyepelean,Negative
pait,Negative
ngertiin,Negative
kecabulan,Negative
menjijikkan,Negative
tuak,Negative
tauu,Negative
perbedaan,Negative
terhina direndahkan,Negative
menista,Negative
memburukkan,Negative
kroco,Negative
mencela,Negative
menyindir,Negative
kebusukan,Negative
kumuh,Negative
terpalit-palit,Negative
tersinggung,Negative
terbesit,Negative
bercengkerama,Negative
bercumbu-cumbu,Negative
cemeeh,Negative
sekadar,Negative
bernoda,Negative
kebejatan,Negative
mencibir,Negative
terbiar,Negative
rasa malu,Negative
berolok-olok,Negative
disakiti,Negative
membenci,Negative
berulah,Negative
kekejian,Negative
menggampangkan,Negative
gausa,Negative
kebobrokan,Negative
nyebelin,Negative
bermain-main,Negative
bercumbuan,Negative
cercaan,Negative
mendaifkan,Negative
ldr,Negative
menangis,Negative
genit,Negative
mengerik,Negative
lemes,Negative
jahad,Negative
taraf,Negative
monyet,Negative
astaghfirullah,Negative
keletihan,Negative
ketiduran,Negative
gapaham,Negative
capek,Negative
kelamaan,Negative
punah,Negative
lesu,Negative
ketinggalan,Negative
apasi,Negative
mampus,Negative
keramat,Negative
campur aduk,Negative
ricuh,Negative
soms,Negative
stress,Negative
kemayu,Negative
mencangkum,Negative
berlama-lama,Negative
diginiin,Negative
sihh,Negative
yakali,Negative
sakral,Negative
ngenes,Negative
bertendensi,Negative
kalut,Negative
mati,Negative
lenguh,Negative
jahanam,Negative
gangerti,Negative
gegara,Negative
godain,Negative
idiot,Negative
ambigu,Negative
utang,Negative
sialan,Negative
centil,Negative
bacot,Negative
mls,Negative
kesunyian,Negative
kebalik,Negative
amoral,Negative
membekas,Negative
anti,Negative
gabole,Negative
simpanan,Negative
ganggu,Negative
sentimen,Negative
berperang,Negative
santunan,Negative
kerelaan,Negative
mulut,Negative
boro,Negative
kasam,Negative
kepencet,Negative
bantet,Negative
sin,Negative
kesumat,Negative
bokek,Negative
muncikari,Negative
menipis,Negative
asusila,Negative
stop,Negative
menciut,Negative
bengkak hati,Negative
kekosongan,Negative
dendam,Negative
gaenak,Negative
susahnya,Negative
mucikari,Negative
maapkan,Negative
vulgar,Negative
ndut,Negative
menurun,Negative
kehilangan,Negative
kecoa,Negative
pokonya,Negative
gituan,Negative
ratapan,Negative
kesepian,Negative
pesan,Negative
bergelanggang,Negative
bersalah,Negative
kampit,Negative
menunggunya,Negative
mendengu,Negative
gaje,Negative
sakitnya,Negative
kesenjangan,Negative
cedih,Negative
menjauhkan,Negative
jijik,Negative
putus,Negative
nyakitin,Negative
ngadu,Negative
najis,Negative
kzl,Negative
ego,Negative
geli,Negative
memaklumi,Negative
kambing,Negative
diblock,Negative
crash,Negative
menyampah,Negative
maruk,Negative
perangsang,Negative
abaikan,Negative
ninggalin,Negative
otaknya,Negative
mengerti,Negative
renggang,Negative
tewas,Negative
amarah,Negative
meradang,Negative
melek,Negative
kenal,Negative
buangan,Negative
nyangka,Negative
dilupain,Negative
kebo,Negative
nyasar,Negative
terungkap,Negative
bocor,Negative
terekspos,Negative
mengusai,Negative
pensiun,Negative
dibully,Negative
kontol,Negative
mimpiin,Negative
susila,Negative
begadang,Negative
eks,Negative
mudarat,Negative
delete,Negative
cerewet,Negative
berahi,Negative
patah,Negative
jerawat,Negative
bawel,Negative
pudar,Negative
teganya,Negative
menghilang,Negative
hamburan,Negative
rongsokan,Negative
gairah,Negative
mengasihi,Negative
mencret,Negative
mamam,Negative
iluminasi,Negative
selingkuhan,Negative
jones,Negative
banyak bicara,Negative
hapus,Negative
mantan,Negative
iseng,Negative
zakar,Negative
air liur,Negative
berengsek,Negative
laporin,Negative
pelecehan,Negative
berenti,Negative
syahwat,Negative
tinggikan,Negative
penat,Negative
nyinyir,Negative
bercerai-berai,Negative
igau,Negative
kenapasih,Negative
nyesek,Negative
rahasia,Negative
anjay,Negative
penyumbat,Negative
letih,Negative
ucek,Negative
lelah,Negative
gila,Negative
tamat,Negative
tersingkap,Negative
konco,Negative
balesnya,Negative
pantesan,Negative
erotis,Negative
curi,Negative
beperkara,Negative
kutuk,Negative
hilang ingatan,Negative
anjuran,Negative
bersitegang,Negative
buah bibir,Negative
teriak,Negative
cegah,Negative
mengerem,Negative
tiri,Negative
kerut merut,Negative
rabies,Negative
serapah,Negative
berdiam,Negative
menangkap,Negative
emosi,Negative
teriakan,Negative
mengutil,Negative
keteledoran,Negative
menjarah,Negative
menjarak,Negative
paksa,Negative
relung,Negative
heula,Negative
atut,Negative
perpegangan,Negative
congkel,Negative
keinget,Negative
sumpah,Negative
membanding,Negative
gempal,Negative
menghambat,Negative
menyakitkan,Negative
asam,Negative
mengaur,Negative
traumatis,Negative
pingsan,Negative
latihan,Negative
mengekang,Negative
mencomot,Negative
tembak-menembak,Negative
ngamen,Negative
tenggelem,Negative
genangan,Negative
menderita,Negative
kasihan,Negative
nyamuk,Negative
berkeras hati,Negative
dibuang,Negative
bertunas,Negative
bad,Negative
menanggung,Negative
gatal,Negative
seram,Negative
jleb,Negative
mengotot,Negative
pemisah,Negative
idih,Negative
memperbandingkan,Negative
badung,Negative
blokir,Negative
perkutut,Negative
ngeri,Negative
egois,Negative
kubang,Negative
abg,Negative
meninggi,Negative
hama,Negative
hambat,Negative
digituin,Negative
nyariin,Negative
ngarep,Negative
ngeluh,Negative
sisa,Negative
dimakan,Negative
menggelapkan,Negative
bolong,Negative
awal,Negative
merinding,Negative
rinding,Negative
tembam,Negative
tersentuh,Negative
kontaminasi,Negative
hate,Negative
dalem,Negative
salahku,Negative
kelembaman,Negative
tempik,Negative
tendang,Negative
penghabisan,Negative
desah,Negative
cuekin,Negative
pikun,Negative
kelu,Negative
tinggalkan,Negative
miris,Negative
primitif,Negative
typonya,Negative
berburu,Negative
merampok,Negative
ringkus,Negative
membesar,Negative
diketawain,Negative
nyeri,Negative
hack,Negative
terminasi,Negative
sedih,Negative
henti,Negative
melupai diri,Negative
pengeluaran,Negative
dikangenin,Negative
gapuk,Negative
membendung,Negative
nyerah,Negative
merebut,Negative
edan,Negative
jerit,Negative
merampas,Negative
nabrak,Negative
menilap,Negative
pekik,Negative
ngiler,Negative
maghrib,Negative
mencatut,Negative
sebab,Negative
mencaplok,Negative
rindunya,Negative
meramalkan,Negative
ingetin,Negative
menggemparkan,Negative
membopong,Negative
seksi,Negative
addict,Negative
fail,Negative
endus,Negative
pendek,Negative
kepindahan,Negative
duet,Negative
guram,Negative
diusir,Negative
tekanan mental,Negative
menghirukkan,Negative
mewek,Negative
trauma,Negative
unmood,Negative
membekap,Negative
ngerasain,Negative
ejekan,Negative
bajak,Negative
memusingkan,Negative
week,Negative
menggodai,Negative
gajih,Negative
ketinggian,Negative
bermohon,Negative
bolos,Negative
hiruk-pikuk,Negative
pengguguran,Negative
olok-olok,Negative
terperengah,Negative
mantannya,Negative
mengumbar,Negative
krg,Negative
berkabut,Negative
layuh,Negative
kelainan,Negative
unfollow,Negative
risiko,Negative
kedinginan,Negative
ancaman,Negative
batuk,Negative
sembarangan,Negative
ngadepin,Negative
dalang,Negative
menggegerkan,Negative
mengacau,Negative
pinggul,Negative
tumben,Negative
kurusuhan,Negative
sindiran,Negative
redup,Negative
kentut,Negative
mainin,Negative
musuhan,Negative
qada,Negative
gabakal,Negative
abu-abu,Negative
hoax,Negative
emergensi,Negative
seenaknya,Negative
muak,Negative
mual,Negative
memburu,Negative
acak-acakan,Negative
close,Negative
menegur,Negative
menyusahkan,Negative
meributkan,Negative
tbc,Negative
shy,Negative
mencemaskan,Negative
paranormal,Negative
merecoki,Negative
demo,Negative
lost,Negative
gangguin,Negative
melankolis,Negative
kabut,Negative
kabur,Negative
protes,Negative
melupakanmu,Negative
mengusili,Negative
jealous,Negative
ketularan,Negative
grogi,Negative
keburukan,Negative
batuk kering,Negative
berpasrah,Negative
tauk,Negative
mengganggu,Negative
tersengal-sengal,Negative
kejut,Negative
gelegak,Negative
malapateka,Negative
debar,Negative
menghebohkan,Negative
membolos,Negative
kegedean,Negative
muram,Negative
sotoy,Negative
ampuni,Negative
derai,Negative
nyalahin,Negative
mafia,Negative
sesambat,Negative
benci,Negative
enek,Negative
gaakan,Negative
keterlaluan,Negative
penutupan,Negative
terkapah-kapah,Negative
kecelakaan,Negative
menjahili,Negative
menggerecoki,Negative
kolera,Negative
ganjal,Negative
guncangan,Negative
tandanya,Negative
sogok,Negative
penyimpangan,Negative
bhay,Negative
bersimbah,Negative
saum,Negative
cacing karawit,Negative
ringkas,Negative
yalord,Negative
cemeti dewa,Negative
nyesal,Negative
narkotika,Negative
syedi,Negative
standar,Negative
bangett,Negative
beud,Negative
gagah,Negative
cabean,Negative
tiduran,Negative
menyunu,Negative
senengnya,Negative
kuyup,Negative
mengalami,Negative
berkelir,Negative
berhati-hati,Negative
menata,Negative
gundik,Negative
terluka,Negative
belia,Negative
albumnya,Negative
comel,Negative
kesibukan,Negative
mengasuh,Negative
alah,Negative
hadeh,Negative
seenak,Negative
udeh,Negative
tergeluncur,Negative
remaja,Negative
akuan,Negative
image,Negative
bawain,Negative
puasa,Negative
berkerut,Negative
cacing jantung,Negative
cacing ginjal,Negative
brutal,Negative
hamster,Negative
diajarin,Negative
luda,Negative
giniin,Negative
menyuap,Negative
tetiba,Negative
beginian,Negative
menebat,Negative
menebak,Negative
amatin,Negative
diliatin,Negative
kemiripan,Negative
cacing gilig,Negative
memperapikan,Negative
senonoh,Negative
garuk,Negative
bisain,Negative
timang,Negative
insane,Negative
sambel,Negative
gjd,Negative
kemaluan,Negative
kualat,Negative
terselulur,Negative
penyakit,Negative
memangnya,Negative
gersang,Negative
ditolak,Negative
menjilat-jilat,Negative
jahatin,Negative
cacing hati,Negative
babu,Negative
mengabaikan,Negative
menyedihkan,Negative
menimpa,Negative
guncang,Negative
kontroversi,Negative
mblo,Negative
bagaimana pun,Negative
gakuat,Negative
poor,Negative
mata-mata,Negative
kenapaaa,Negative
pikulan,Negative
lau,Negative
tergelicik,Negative
menjilat,Negative
selir,Negative
yaoi,Negative
ngidam,Negative
napsu,Negative
zalim,Negative
tergelingsir,Negative
bau kencur,Negative
alergi,Negative
kodok,Negative
drop,Negative
sedikit-dikitnya,Negative
xx,Negative
belikan,Negative
menyundut,Negative
pengangguran,Negative
pataka,Negative
menyepelekan,Negative
berkurang,Negative
siapanya,Negative
mahh,Negative
gamungkin,Negative
matiin,Negative
perbantahan,Negative
nape,Negative
selagi,Negative
lagak,Negative
cacing gila,Negative
